File_csv,abstract_avg,section_1_avg,section_2_avg,section_3_avg,section_4_avg,section_5_avg,Cluster
journal.pone.0119915.csv,1.1666666666666667,1.5,0.16666666666666666,0.8333333333333334,1.5,0.16666666666666666,1
journal.pone.0004788.csv,5.125,2.75,6.125,33.375,7.5,0.0,0
journal.pone.0103781.csv,5.333333333333333,12.0,3.3333333333333335,7.0,6.666666666666667,1.0,3
journal.pone.0012698.csv,1.75,4.0,0.5,4.0,0.75,0.125,0
journal.pone.0206669.csv,2.8181818181818183,6.363636363636363,3.0,11.636363636363637,8.727272727272727,2.1818181818181817,0
journal.pone.0033118.csv,2.3333333333333335,4.166666666666667,4.5,15.0,5.166666666666667,0.0,0
journal.pone.0181972.csv,1.0,3.0,3.4285714285714284,2.5714285714285716,3.4285714285714284,0.0,1
journal.pone.0221229.csv,0.0,0.0,0.0,0.0,0.0,0.0,1
journal.pone.0075830.csv,2.8,6.2,4.0,2.8,16.4,0.0,0
journal.pone.0051986.csv,2.2,3.4,18.6,6.8,0.8,0.0,1
journal.pone.0164929.csv,1.625,3.875,4.375,1.375,2.875,0.75,1
journal.pone.0006174.csv,3.2,5.2,5.2,6.6,5.2,0.0,0
journal.pone.0036128.csv,1.0,2.5,3.5,2.0,6.75,0.0,1
journal.pone.0017864.csv,0.4,0.8,3.6,0.6,1.6,0.0,1
journal.pone.0158626.csv,1.1428571428571428,3.2857142857142856,9.142857142857142,8.428571428571429,4.857142857142857,5.857142857142857,1
journal.pone.0199052.csv,5.0,3.0,3.2,11.6,14.4,0.2,0
journal.pone.0179373.csv,4.333333333333333,7.166666666666667,10.833333333333334,6.333333333333333,11.833333333333334,2.1666666666666665,3
journal.pone.0143789.csv,6.75,5.75,5.875,10.0,18.625,0.0,0
journal.pone.0197533.csv,2.3333333333333335,5.666666666666667,2.0,5.333333333333333,8.0,2.6666666666666665,0
journal.pone.0105051.csv,1.625,3.5,3.25,2.0,5.0,0.125,1
journal.pone.0220527.csv,1.75,2.25,2.25,9.5,5.5,0.375,1
journal.pone.0080729.csv,1.0,2.75,1.5,3.75,3.125,1.0,1
journal.pone.0045471.csv,1.25,2.25,0.125,3.125,3.375,0.0,1
journal.pone.0015534.csv,4.714285714285714,1.7142857142857142,1.7142857142857142,12.0,7.142857142857143,0.0,1
